Player	Rank	Position	Team	Fantasy Team	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Darren Collison	100	PG	LAC	#N/A	-0.307681371	0.144504234	0.798449666	-0.188533879	-0.536432225	-1.009846287	0.350311425	0.603347331	-0.642344755	0.172863119	0.467	0.857	0.9	11.4	2.4	3.7	1.2	0.2	1.7
Arron Afflalo	101	SG	ORL	Sligonian	-0.324914657	-0.010460092	0.38361931	0.942669397	0.981245799	-0.555045933	0.203121751	-1.02104933	-1.033422231	-0.215593328	0.459	0.815	1.8	18.2	3.6	3.4	0.5	0	2
Tobias Harris	102	SF	ORL	Jason's Neat Team	-0.333574204	0.086392612	0.304604004	-0.691290891	0.177769198	0.733555072	-0.827205971	-0.556935998	-0.251267279	0.690805049	0.464	0.807	0.5	14.6	7	1.3	0.7	0.4	1.3
Khris Middleton	103	PF	MIL	#N/A	-0.340364792	-0.378500368	0.837957319	0.565601638	-0.380200664	-0.479245873	-0.434700172	0.139234	-0.642344755	0.431834084	0.44	0.861	1.5	12.1	3.8	2.1	1	0.2	1.5
Amir Johnson	104	PF	TOR	#N/A	-0.386140189	1.984705612	-1.384348159	-0.942669397	-0.75962017	0.581954953	-0.729079521	-0.556935998	1.117503889	0.302348601	0.562	0.636	0.3	10.4	6.6	1.5	0.7	1.1	1.6
Eric Gordon	105	SG	NO	#N/A	-0.485124109	-0.455982531	0.087311913	0.691290891	0.356319554	-0.934046228	0.154058526	0.603347331	-0.642344755	-0.345078811	0.436	0.785	1.6	15.4	2.6	3.3	1.2	0.2	2.1
J.R. Smith	106	SG	NY	FOOSHBAGS	-0.489819173	-0.862763888	-1.226317547	1.948183421	0.155450404	-0.403445814	0.006868851	-0.092822666	-0.446806017	0.431834084	0.415	0.652	2.6	14.5	4	3	0.9	0.3	1.5
P.J. Tucker	107	SF	PHX	#N/A	-0.501195988	-0.552835235	-0.001580306	-0.188533879	-0.982808115	0.544054924	-0.630953071	1.067460663	-0.446806017	0.690805049	0.431	0.776	0.9	9.4	6.5	1.7	1.4	0.3	1.3
Markieff Morris	108	PF	PHX	Jesse's Neat Team	-0.517793055	0.51254451	0.156450306	-0.816980144	-0.000781158	0.354554776	-0.581889847	-0.324879332	0.139810198	0.043377637	0.486	0.792	0.4	13.8	6	1.8	0.8	0.6	1.8
Luol Deng	109	SF	CHI/CLE	Spurtability	-0.561174944	-0.552835235	0.146573392	-0.188533879	0.490232321	0.240854688	-0.042194373	0.139234	-0.837883493	0.043377637	0.431	0.791	0.9	16	5.7	2.9	1	0.1	1.8
Mario Chalmers	110	PG	MIA	#N/A	-0.616318279	-0.107312796	-0.337395356	0.188533879	-0.893532937	-0.820346139	0.939070123	1.531573995	-0.642344755	-0.474564293	0.454	0.742	1.2	9.8	2.9	4.9	1.6	0.2	2.2
Zach Randolph	111	PF	MEM	Justin's Neat Team	-0.64771591	0.144504234	-0.337395356	-1.319737156	0.802695443	1.908455987	-0.238447273	-0.556935998	-0.446806017	-0.604049775	0.467	0.742	0	17.4	10.1	2.5	0.7	0.3	2.3
Marco Belinelli	112	SG	SA	#N/A	-0.702755574	0.493173969	0.699680533	0.691290891	-0.536432225	-0.858246169	-0.385636947	-0.788992664	-0.837883493	0.820290531	0.485	0.847	1.6	11.4	2.8	2.2	0.6	0.1	1.2
Josh McRoberts	113	PF	CHA	#N/A	-0.714136482	-0.455982531	-0.465795228	0.314223132	-1.183677265	-0.100245578	0.644690774	-0.556935998	0.139810198	0.949776014	0.436	0.729	1.3	8.5	4.8	4.3	0.7	0.6	1.1
Vince Carter	114	SG	DAL	#N/A	-0.724687853	-1.017728214	0.442880789	0.942669397	-0.424838253	-0.592945962	-0.189384048	-0.324879332	-0.251267279	0.690805049	0.407	0.821	1.8	11.9	3.5	2.6	0.8	0.4	1.3
Roy Hibbert	115	C	IND	FOOSHBAGS	-0.733470659	-0.397870908	-0.060841786	-1.319737156	-0.670344992	0.581954953	-0.92533242	-1.253105996	3.268430009	0.043377637	0.439	0.77	0	10.8	6.6	1.1	0.4	2.2	1.8
Courtney Lee	116	SG	BOS/MEM	#N/A	-0.771582258	0.396321265	1.065126323	-0.188533879	-0.938170526	-1.009846287	-0.729079521	-0.324879332	-0.251267279	1.208746978	0.48	0.884	0.9	9.6	2.4	1.5	0.8	0.4	0.9
Jeff Green	117	SF	BOS	Jesse's Neat Team	-0.79211994	-0.92087551	0.186081045	0.691290891	0.691101471	-0.176045637	-0.630953071	-0.556935998	0.139810198	-0.215593328	0.412	0.795	1.6	16.9	4.6	1.7	0.7	0.6	2
Avery Bradley	118	PG	BOS	#N/A	-0.809413579	-0.417241449	0.274973264	0.314223132	0.244725581	-0.479245873	-0.778142746	0.371290665	-0.642344755	0.302348601	0.438	0.804	1.3	14.9	3.8	1.4	1.1	0.2	1.6
Wilson Chandler	119	SF	DEN	#N/A	-0.851838929	-0.843393347	-0.515179794	1.194047903	-0.045418747	-0.138145608	-0.581889847	-0.556935998	-0.05572854	0.690805049	0.416	0.724	2	13.6	4.7	1.8	0.7	0.5	1.3
Andrea Bargnani	120	C	NY	#N/A	-0.866413592	-0.339759286	0.472511529	-0.439912385	-0.11237513	0.08925457	-0.92533242	-1.485162662	1.313042627	0.561319566	0.442	0.824	0.7	13.3	5.3	1.1	0.3	1.2	1.4
Drew Gooden	121	PF	WSH	#N/A	-0.872108181	1.384218847	1.114510889	-0.942669397	-1.228314854	0.05135454	-1.12158532	-1.02104933	-0.446806017	1.338232461	0.531	0.889	0.3	8.3	5.2	0.7	0.5	0.3	0.8
Lance Stephenson	122	SG	IND	Justin's Neat Team	-0.8876946	0.609397214	-0.643579666	0.062844626	-0.000781158	0.809355131	0.791880449	-0.556935998	-0.837883493	-1.121991705	0.491	0.711	1.1	13.8	7.2	4.6	0.7	0.1	2.7
Taj Gibson	123	PF	CHI	Justin's Neat Team	-0.91175008	0.376950724	-0.248503137	-1.319737156	-0.179331514	0.657755013	-0.92533242	-1.02104933	1.704120103	0.043377637	0.479	0.751	0	13	6.8	1.1	0.5	1.4	1.8
Jonas Valanciunas	124	C	TOR	Jesse's Neat Team	-0.925829267	1.384218847	-0.139857091	-1.319737156	-0.55875102	1.415755603	-1.12158532	-1.485162662	0.726426412	0.172863119	0.531	0.762	0	11.3	8.8	0.7	0.3	0.9	1.7
Jared Sullinger	125	C	BOS	#N/A	-0.951654833	-0.630317398	0.01817352	-0.314223132	-0.11237513	1.150455397	-0.680016296	-1.02104933	0.335348936	0.302348601	0.427	0.778	0.8	13.3	8.1	1.6	0.5	0.7	1.6
D.J. Augustin	126	PG	CHI/TOR	#N/A	-0.966887779	-0.862763888	1.075003236	1.06835865	-0.157012719	-1.237246464	0.693753999	-0.556935998	-1.033422231	0.043377637	0.415	0.885	1.9	13.1	1.8	4.4	0.7	0	1.8
Trey Burke	127	PG	UTAH	#N/A	-0.984477544	-1.540732816	1.252787674	0.691290891	-0.223969103	-0.78244611	1.331575922	-0.788992664	-0.837883493	-0.086107846	0.38	0.903	1.6	12.8	3	5.7	0.6	0.1	1.9
Marvin Williams	128	PF	UTAH	#N/A	-0.990798111	-0.397870908	0.04780426	0.314223132	-1.049764498	0.01345451	-0.876269196	-0.324879332	-0.05572854	1.338232461	0.439	0.781	1.3	9.1	5.1	1.2	0.8	0.5	0.8
Brandon Bass	129	PF	BOS	#N/A	-0.993121461	0.51254451	0.808326579	-1.319737156	-0.603388609	0.240854688	-0.92533242	-1.253105996	0.726426412	0.820290531	0.486	0.858	0	11.1	5.7	1.1	0.4	0.9	1.2
Tyreke Evans	130	SG	NO	Full-On Splits	-1.0211726	-0.455982531	-0.050964872	-0.942669397	0.155450404	-0.138145608	0.988133348	0.603347331	-0.446806017	-0.733535258	0.436	0.771	0.3	14.5	4.7	5	1.2	0.3	2.4
Jordan Hill	131	PF	LAL	#N/A	-1.037864709	1.732888581	-0.90037941	-1.319737156	-0.915851731	0.88515519	-1.072522095	-1.253105996	0.726426412	1.079261496	0.549	0.685	0	9.7	7.4	0.8	0.4	0.9	1
Victor Oladipo	132	SG	ORL	Sligonian	-1.049224538	-0.785281725	0.037927347	-0.188533879	-0.000781158	-0.365545785	0.546564325	1.531573995	-0.05572854	-1.769419117	0.419	0.78	0.9	13.8	4.1	4.1	1.6	0.5	3.2
John Henson	133	C	MIL	#N/A	-1.097113645	1.519812632	-2.589331573	-1.319737156	-0.603388609	0.771455101	-0.680016296	-0.788992664	2.290736318	0.302348601	0.538	0.514	0	11.1	7.1	1.6	0.6	1.7	1.6
Terrence Ross	134	SF	TOR	#N/A	-1.101717516	-0.707799561	0.600911401	1.194047903	-0.648026198	-0.74454608	-0.974395645	-0.324879332	-0.446806017	0.949776014	0.423	0.837	2	10.9	3.1	1	0.8	0.3	1.1
Tony Parker	135	PG	SA	Spurtability	-1.111710575	0.764361541	0.344111657	-0.816980144	0.646463882	-1.047746316	1.331575922	-1.02104933	-0.837883493	-0.474564293	0.499	0.811	0.4	16.7	2.3	5.7	0.5	0.1	2.2
Ray Allen	136	SG	MIA	#N/A	-1.230635946	-0.339759286	1.272541501	0.691290891	-0.938170526	-0.858246169	-0.483763397	-0.556935998	-0.837883493	0.820290531	0.442	0.905	1.6	9.6	2.8	2	0.7	0.1	1.2
Jeremy Lin	137	PG	HOU	Full-On Splits	-1.264570036	-0.262277123	0.462634616	0.188533879	-0.290925486	-0.934046228	0.546564325	0.139234	-0.251267279	-0.86302074	0.446	0.823	1.2	12.5	2.6	4.1	1	0.4	2.5
Nene Hilario	138	PF	WSH	Spurtability	-1.319154286	0.841843704	-1.90782456	-1.319737156	0.08849402	0.165054629	-0.042194373	0.603347331	0.726426412	-0.474564293	0.503	0.583	0	14.2	5.5	2.9	1.2	0.9	2.2
Kris Humphries	139	PF	BOS	#N/A	-1.334438613	0.803102622	0.363865483	-1.319737156	-1.20599606	0.316654747	-0.974395645	-1.253105996	0.726426412	1.208746978	0.501	0.813	0	8.4	5.9	1	0.4	0.9	0.9
Caron Butler	140	SF	MIL/OKC	#N/A	-1.350169724	-1.269545245	0.630542141	0.942669397	-0.737301376	-0.365545785	-0.729079521	-0.324879332	-0.446806017	0.949776014	0.394	0.84	1.8	10.5	4.1	1.5	0.8	0.3	1.1
C.J. Miles	141	SG	CLE	#N/A	-1.363058065	-0.475353072	0.758942013	0.691290891	-0.871214142	-1.161446405	-0.974395645	-0.092822666	-0.446806017	1.208746978	0.435	0.853	1.6	9.9	2	1	0.9	0.3	0.9
Matt Barnes	142	SF	LAC	#N/A	-1.462235459	-0.417241449	-0.426287575	0.565601638	-0.871214142	-0.176045637	-0.483763397	-0.092822666	-0.251267279	0.690805049	0.438	0.733	1.5	9.9	4.6	2	0.9	0.4	1.3
Timofey Mozgov	143	C	DEN	#N/A	-1.598816299	1.22925452	-0.218872397	-1.319737156	-0.982808115	0.506154894	-1.072522095	-1.485162662	1.313042627	0.431834084	0.523	0.754	0	9.4	6.4	0.8	0.3	1.2	1.5
Rajon Rondo	144	PG	BOS	Spurtability	-1.619621803	-1.095210378	-1.473240378	-0.188533879	-0.469475842	0.165054629	3.343168141	0.835403997	-0.837883493	-1.8989046	0.403	0.627	0.9	11.7	5.5	9.8	1.3	0.1	3.3
Martell Webster	145	SF	WSH	#N/A	-1.6612366	-0.514094153	0.630542141	1.06835865	-0.915851731	-0.858246169	-0.876269196	-1.02104933	-0.642344755	1.467717943	0.433	0.84	1.9	9.7	2.8	1.2	0.5	0.2	0.7
Kyle Singler	146	SF	DET	#N/A	-1.699974941	-0.242906582	0.492265355	0.062844626	-0.938170526	-0.517145903	-1.02345887	-0.556935998	-0.05572854	1.079261496	0.447	0.826	1.1	9.6	3.7	0.9	0.7	0.5	1
Andray Blatche	147	C	BKN	#N/A	-1.792470127	0.318839102	-0.337395356	-1.06835865	-0.581069814	0.08925457	-0.729079521	0.139234	-0.05572854	0.431834084	0.476	0.742	0.2	11.2	5.3	1.5	1	0.5	1.5
Boris Diaw	148	PF	SA	#N/A	-1.857108035	1.190513439	-0.367026096	-0.565601638	-1.049764498	-0.365545785	-0.091257598	-0.788992664	-0.251267279	0.431834084	0.521	0.739	0.6	9.1	4.1	2.8	0.6	0.4	1.5
Amar'e Stoudemire	149	PF	NY	#N/A	-2.057782146	1.887852908	-0.367026096	-1.319737156	-0.424838253	-0.062345549	-1.219711769	-1.253105996	0.139810198	0.561319566	0.557	0.739	0	11.9	4.9	0.5	0.4	0.6	1.4
Patrick Patterson	150	PF	SAC/TOR	#N/A	-2.094530272	0.008910449	-0.712718059	-0.314223132	-1.183677265	0.08925457	-0.876269196	-0.324879332	0.139810198	1.079261496	0.46	0.704	0.8	8.5	5.3	1.2	0.8	0.6	1
James Anderson	151	SG	PHI	#N/A	-2.100282762	-0.552835235	-0.495425968	0.439912385	-0.826576553	-0.479245873	-0.532826622	-0.092822666	-0.251267279	0.690805049	0.431	0.726	1.4	10.1	3.8	1.9	0.9	0.4	1.3
Raymond Felton	152	PG	NY	#N/A	-2.137128284	-1.250174704	-0.544810534	-0.062844626	-0.915851731	-0.78244611	1.282512697	0.603347331	-0.251267279	-0.215593328	0.395	0.721	1	9.7	3	5.6	1.2	0.4	2
Ersan Ilyasova	153	PF	MIL	#N/A	-2.147172664	-0.978987133	0.462634616	-0.439912385	-0.581069814	0.430354835	-0.827205971	-0.324879332	-0.837883493	0.949776014	0.409	0.823	0.7	11.2	6.2	1.3	0.8	0.1	1.1
Jason Smith	154	C	NO	#N/A	-2.154535146	0.105763153	0.037927347	-1.319737156	-0.915851731	0.278754717	-1.02345887	-1.253105996	0.726426412	1.208746978	0.465	0.78	0	9.7	5.8	0.9	0.4	0.9	0.9
Carlos Boozer	155	PF	CHI	#N/A	-2.174977532	-0.068571714	-0.090472525	-1.319737156	-0.023099952	1.226255456	-0.680016296	-0.556935998	-0.446806017	-0.215593328	0.456	0.767	0	13.7	8.3	1.6	0.7	0.3	2
Gerald Henderson	156	SG	CHA	#N/A	-2.280461673	-0.514094153	-0.149734005	-0.691290891	0.043856431	-0.403445814	-0.189384048	-0.556935998	-0.251267279	0.431834084	0.433	0.761	0.5	14	4	2.6	0.7	0.4	1.5
Chris Kaman	157	C	LAL	#N/A	-2.29324686	0.958066949	-0.110226352	-1.319737156	-0.75962017	0.316654747	-0.729079521	-1.485162662	0.921965151	-0.086107846	0.509	0.765	0	10.4	5.9	1.5	0.3	1	1.9
Brian Roberts	158	PG	NO	#N/A	-2.300378731	-0.765911184	1.618233464	-0.188533879	-0.982808115	-1.199346435	0.154058526	-0.788992664	-0.837883493	0.690805049	0.42	0.94	0.9	9.4	1.9	3.3	0.6	0.1	1.3
Tristan Thompson	159	PF	CLE	#N/A	-2.309982168	0.338209643	-0.821364104	-1.319737156	-0.469475842	1.567355721	-1.02345887	-1.02104933	-0.251267279	0.690805049	0.477	0.693	0	11.7	9.2	0.9	0.5	0.4	1.3
Kirk Hinrich	160	SG	CHI	#N/A	-2.372993687	-1.288915786	-0.159610918	0.188533879	-1.049764498	-0.934046228	0.448437875	0.371290665	-0.251267279	0.302348601	0.393	0.76	1.2	9.1	2.6	3.9	1.1	0.4	1.6
Nate Robinson	161	PG	DEN	#N/A	-2.422837834	-0.610946857	0.581157575	0.314223132	-0.75962017	-1.237246464	-0.238447273	-0.324879332	-0.837883493	0.690805049	0.428	0.835	1.3	10.4	1.8	2.5	0.8	0.1	1.3
Alec Burks	162	PG	UTAH	#N/A	-2.479422369	-0.049201174	-0.278133877	-0.565601638	0.043856431	-0.668746021	-0.140320823	-0.092822666	-0.642344755	-0.086107846	0.457	0.748	0.6	14	3.3	2.7	0.9	0.2	1.9
Louis Williams	163	SG	ATL	#N/A	-2.481574819	-1.153322	0.71943436	0.314223132	-0.75962017	-1.123546376	0.252184976	-0.324879332	-0.837883493	0.431834084	0.4	0.849	1.3	10.4	2.1	3.5	0.8	0.1	1.5
Marcus Morris	164	PF	PHX	#N/A	-2.498366297	-0.339759286	-0.149734005	0.188533879	-0.915851731	-0.441345844	-0.92533242	-0.092822666	-0.642344755	0.820290531	0.442	0.761	1.2	9.7	3.9	1.1	0.9	0.2	1.2
Evan Turner	165	SG	IND/PHI	#N/A	-2.513201022	-0.66905848	0.363865483	-0.565601638	0.043856431	-0.024445519	0.104995301	-0.324879332	-0.837883493	-0.604049775	0.425	0.813	0.6	14	5	3.2	0.8	0.1	2.3
Jordan Farmar	166	PG	LAL	#N/A	-2.542341331	-0.862763888	-0.297887703	0.816980144	-0.826576553	-0.971946257	0.939070123	-0.092822666	-0.642344755	-0.604049775	0.415	0.746	1.7	10.1	2.5	4.9	0.9	0.2	2.3
Greivis Vasquez	167	PG	SAC/TOR	#N/A	-2.546903022	-0.746540643	1.02561867	0.439912385	-0.938170526	-1.085646346	0.546564325	-1.253105996	-0.837883493	0.302348601	0.421	0.88	1.4	9.6	2.2	4.1	0.4	0.1	1.6
Richard Jefferson	168	SF	UTAH	#N/A	-2.618709378	-0.184794959	-0.347272269	0.565601638	-0.826576553	-0.896146198	-0.680016296	-0.556935998	-0.642344755	0.949776014	0.45	0.741	1.5	10.1	2.7	1.6	0.7	0.2	1.1
Tony Allen	169	SG	MEM	#N/A	-2.659378936	0.667508837	-1.463363464	-1.06835865	-1.072083293	-0.479245873	-0.630953071	1.531573995	-0.446806017	0.302348601	0.494	0.628	0.2	9	3.8	1.7	1.6	0.3	1.6
Dion Waiters	170	SG	CLE	#N/A	-2.693445937	-0.514094153	-0.90037941	0.314223132	0.467913526	-0.858246169	0.006868851	-0.092822666	-0.642344755	-0.474564293	0.433	0.685	1.3	15.9	2.8	3	0.9	0.2	2.2
Kelly Olynyk	171	C	BOS	#N/A	-2.704540245	0.125133694	0.344111657	-0.565601638	-1.139039676	0.05135454	-0.680016296	-1.02104933	-0.251267279	0.431834084	0.466	0.811	0.6	8.7	5.2	1.6	0.5	0.4	1.5
O.J. Mayo	172	SG	MIL	#N/A	-2.748286051	-1.017728214	0.867588058	0.691290891	-0.469475842	-1.009846287	-0.385636947	-1.02104933	-0.446806017	0.043377637	0.407	0.864	1.6	11.7	2.4	2.2	0.5	0.3	1.8
Jarrett Jack	173	PG	CLE	#N/A	-2.756224557	-0.959616592	0.620665227	-0.314223132	-0.96048932	-0.858246169	0.546564325	-0.556935998	-0.446806017	0.172863119	0.41	0.839	0.8	9.5	2.8	4.1	0.7	0.3	1.7
Mo Williams	174	PG	POR	#N/A	-2.780187315	-0.824022806	0.986111017	0.062844626	-0.915851731	-1.123546376	0.644690774	-0.556935998	-0.837883493	-0.215593328	0.417	0.876	1.1	9.7	2.1	4.3	0.7	0.1	2
Jordan Crawford	175	SG	BOS/GS	#N/A	-2.807612985	-0.862763888	0.867588058	0.062844626	-0.625707403	-1.047746316	0.252184976	-0.788992664	-0.837883493	0.172863119	0.415	0.864	1.1	11	2.3	3.5	0.6	0.1	1.7
Jeremy Lamb	176	SG	OKC	#N/A	-2.852897823	-0.533464694	0.205834872	0.062844626	-1.183677265	-1.009846287	-0.729079521	-0.556935998	-0.446806017	1.338232461	0.432	0.797	1.1	8.5	2.4	1.5	0.7	0.3	0.8
Marcus Thornton	177	SG	BKN/SAC	#N/A	-2.864558977	-1.269545245	0.274973264	0.565601638	-0.893532937	-0.858246169	-0.92533242	-0.324879332	-0.642344755	1.208746978	0.394	0.804	1.5	9.8	2.8	1.1	0.8	0.2	0.9
Enes Kanter	178	C	UTAH	#N/A	-2.867681882	0.609397214	-0.455918315	-1.319737156	-0.335563075	0.923055219	-1.02345887	-1.253105996	-0.05572854	0.043377637	0.491	0.73	0	12.3	7.5	0.9	0.4	0.5	1.8
Tim Hardaway Jr.	179	SG	NY	#N/A	-2.897092588	-0.610946857	0.512019182	0.691290891	-0.804257759	-1.350946553	-1.072522095	-1.02104933	-0.837883493	1.597203426	0.428	0.828	1.6	10.2	1.5	0.8	0.5	0.1	0.6
J.J. Hickson	180	C	DEN	#N/A	-2.906380561	0.938696408	-2.559700833	-1.319737156	-0.447157047	1.567355721	-0.778142746	-0.556935998	0.335348936	-0.086107846	0.508	0.517	0	11.8	9.2	1.4	0.7	0.7	1.9
Aaron Brooks	181	PG	DEN/HOU	#N/A	-2.916737714	-1.133951459	0.966357191	0.314223132	-1.072083293	-1.199346435	0.104995301	-0.556935998	-0.642344755	0.302348601	0.401	0.874	1.3	9	1.9	3.2	0.7	0.2	1.6
Anthony Morrow	182	SG	NO	#N/A	-3.040718332	-0.029830633	0.512019182	0.188533879	-1.20599606	-1.237246464	-1.072522095	-1.02104933	-0.642344755	1.467717943	0.458	0.828	1.2	8.4	1.8	0.8	0.5	0.2	0.7
Glen Davis	183	PF	LAC/ORL	#N/A	-3.315713108	-0.049201174	-0.821364104	-1.194047903	-0.982808115	0.05135454	-0.92533242	-0.092822666	-0.251267279	0.949776014	0.457	0.693	0.1	9.4	5.2	1.1	0.9	0.4	1.1
Jerryd Bayless	184	PG	BOS/MEM	#N/A	-3.36578237	-1.114580919	0.205834872	0.062844626	-1.005126909	-1.161446405	-0.140320823	-0.324879332	-0.837883493	0.949776014	0.402	0.797	1.1	9.3	2	2.7	0.8	0.1	1.1
Mike Scott	185	PF	ATL	#N/A	-3.427748383	0.376950724	0.037927347	-0.314223132	-0.938170526	-0.555045933	-1.02345887	-1.253105996	-0.837883493	1.079261496	0.479	0.78	0.8	9.6	3.6	0.9	0.4	0.1	1
Ramon Sessions	186	PG	MIL/CHA	#N/A	-3.486296014	-0.591576317	0.304604004	-0.816980144	-0.335563075	-1.009846287	0.546564325	-0.788992664	-0.837883493	0.043377637	0.429	0.807	0.4	12.3	2.4	4.1	0.6	0.1	1.8
Rodney Stuckey	187	PG	DET	#N/A	-3.490482664	-0.455982531	0.591034488	-0.942669397	0.021537637	-1.047746316	-0.434700172	-0.556935998	-0.837883493	0.172863119	0.436	0.836	0.3	13.9	2.3	2.1	0.7	0.1	1.7
Mirza Teletovic	188	PF	BKN	#N/A	-3.502456215	-0.804652265	-0.653456579	1.06835865	-1.161358471	-0.517145903	-1.072522095	-1.253105996	-0.446806017	1.338232461	0.418	0.71	1.9	8.6	3.7	0.8	0.4	0.3	0.8
Gary Neal	189	SG	MIL/CHA	#N/A	-3.862379619	-0.959616592	1.173772368	0.314223132	-0.737301376	-1.275146494	-0.680016296	-1.485162662	-1.033422231	0.820290531	0.41	0.895	1.3	10.5	1.7	1.6	0.3	0	1.2
Harrison Barnes	190	SF	GS	#N/A	-3.976280938	-1.172692541	-0.574441274	-0.314223132	-0.96048932	-0.403445814	-0.729079521	-0.324879332	-0.446806017	0.949776014	0.399	0.718	0.8	9.5	4	1.5	0.8	0.3	1.1
Andrew Bynum	191	C	CLE/IND	#N/A	-4.103712734	-0.804652265	-0.208995484	-1.319737156	-1.139039676	0.202954658	-0.92533242	-1.717219327	1.117503889	0.690805049	0.418	0.755	0	8.7	5.6	1.1	0.2	1.1	1.3
Derrick Rose	192	PG	CHI	Sligonian	-4.164390848	-2.044366878	0.670049794	0.691290891	0.467913526	-0.706646051	0.644690774	-1.02104933	-0.837883493	-2.028390082	0.354	0.844	1.6	15.9	3.2	4.3	0.5	0.1	3.4
Kobe Bryant	193	SG	LAL	Full-On Splits	-4.272024919	-0.66905848	0.798449666	-0.691290891	-0.000781158	-0.289745726	1.625955271	0.603347331	-0.642344755	-5.006556178	0.425	0.857	0.5	13.8	4.3	6.3	1.2	0.2	5.7
Will Bynum	194	PG	DET	#N/A	-4.451997684	-0.610946857	0.255219438	-0.816980144	-1.139039676	-1.237246464	0.448437875	-0.556935998	-0.837883493	0.043377637	0.428	0.802	0.4	8.7	1.8	3.9	0.7	0.1	1.8
Xavier Henry	195	SF	LAL	#N/A	-4.894238447	-0.824022806	-1.196686807	-0.439912385	-0.848895348	-0.896146198	-0.876269196	0.139234	-0.642344755	0.690805049	0.417	0.655	0.7	10	2.7	1.2	1	0.2	1.3
Ben McLemore	196	SG	SAC	#N/A	-4.909274056	-1.61821498	0.274973264	0.188533879	-1.116720882	-0.820346139	-0.974395645	-1.02104933	-0.642344755	0.820290531	0.376	0.804	1.2	8.8	2.9	1	0.5	0.2	1.2
Tony Wroten	197	SG	PHI	#N/A	-4.932522619	-0.630317398	-1.334963592	-0.565601638	-0.179331514	-0.706646051	0.006868851	0.371290665	-0.642344755	-1.251477188	0.427	0.641	0.6	13	3.2	3	1.1	0.2	2.8
Evan Fournier	198	SG	DEN	#N/A	-5.027272635	-0.785281725	-0.199118571	0.188533879	-1.20599606	-0.896146198	-0.729079521	-1.253105996	-0.837883493	0.690805049	0.419	0.756	1.2	8.4	2.7	1.5	0.4	0.1	1.3
J.J. Barea	199	PG	MIN	#N/A	-5.679180567	-1.405139031	0.136696479	-0.188533879	-1.20599606	-1.199346435	0.39937465	-1.485162662	-1.033422231	0.302348601	0.387	0.79	0.9	8.4	1.9	3.8	0.3	0	1.6
Troy Daniels	200	SG	HOU	#N/A	-10.90964656	0.473803428	-7.666064974	1.696804915	-1.20599606	-1.616246759	-0.974395645	-2.181332659	-1.033422231	1.597203426	0.484	0	2.4	8.4	0.8	1	0	0	0.6
					20.37449205	0.795354406	3.044459734	6.975753539	12.55688856	-0.420500828	3.411856655	1.067460663	0.364679747	-7.421460425									
