year, mon, day, tmax, tmin, precip, snow, snowcover
"2019","1","1","13","2","0.03","0.6","2"
"2019","2","2","41","2","0.00","0.0","2"
"2019","3","3","56","1","0.00","0.0","1"
"2019","4","4","61","-999","0.00","0.0","-999"
"2019","5","5","60","-999","0.00","0.0","-999"
"2019","6","6","57","0","0.00","0.0","0"
"2019","7","7","51","0","-999.00","-999.0","0"
"2019","8","8","46","0","0.00","0.0","0"
"2019","9","9","50","0","-999.00","0.0","0"
"2019","10","10","58","0","0.00","0.0","0"
"2019","11","11","45","2","0.63","1.9","2"
"2019","12","12","39","2","0.14","1.4","2"
"2019","13","13","41","2","0.00","0.0","2"
"2019","14","14","51","1","0.00","0.0","1"
"2019","15","15","51","1","0.00","0.0","1"
"2019","16","16","53","-999","0.00","0.0","-999"
"2019","17","17","57","0","0.00","0.0","0"
"2019","18","18","50","1","0.22","1.5","1"
"2019","19","19","51","-999","0.00","0.0","-999"
"2019","20","20","54","-999","0.00","0.0","-999"
"2019","21","21","51","-999","0.00","0.0","-999"
"2019","22","22","44","2","0.17","2.2","2"
"2019","23","23","45","1","0.00","0.0","1"
"2019","24","24","37","3","0.18","2.9","3"
"2019","25","25","41","2","0.00","0.0","2"
"2019","26","26","48","2","0.00","0.0","2"
"2019","27","27","53","-999","0.00","0.0","-999"
"2019","28","28","49","4","0.20","4.0","4"
"2019","29","29","32","2","0.00","0.0","2"
"2019","30","30","49","2","0.00","0.0","2"
"2019","31","31","50","1","0.00","0.0","1"
"2019","1","1","59","-999","0.00","0.0","-999"
"2019","2","2","59","-999","0.00","0.0","-999"
"2019","3","3","63","-999","0.00","0.0","-999"
"2019","4","4","54","-999","0.00","0.0","-999"
"2019","5","5","47","-999","0.00","0.0","-999"
"2019","6","6","37","5","0.29","5.7","5"
"2019","7","7","20","5","0.08","1.8","5"
"2019","8","8","33","4","0.00","0.0","4"
"2019","9","9","44","3","0.00","0.0","3"
"2019","10","10","32","3","0.00","0.0","3"
"2019","11","11","36","2","-999.00","-999.0","2"
"2019","12","12","50","1","0.00","0.0","1"
"2019","13","13","57","-999","0.00","0.0","-999"
"2019","14","14","56","0","0.00","0.0","0"
"2019","15","15","57","0","0.01","0.1","0"
"2019","16","16","52","0","-999.00","-999.0","0"
"2019","17","17","36","-999","-999.00","-999.0","-999"
"2019","18","18","25","2","0.12","4.2","2"
"2019","19","19","20","2","0.06","0.6","2"
"2019","20","20","35","-999","0.00","0.0","-999"
"2019","21","21","34","-999","0.00","0.0","-999"
"2019","22","22","29","1","0.06","1.1","1"
"2019","23","23","41","1","0.11","1.0","1"
"2019","24","24","47","-999","0.00","0.0","-999"
"2019","25","25","54","-999","0.00","0.0","-999"
"2019","26","26","52","-999","0.00","0.0","-999"
"2019","27","27","45","-999","0.01","0.1","-999"
"2019","28","28","55","0","0.00","0.0","0"
"2019","29","29","-998","-998","-998.00","-998.0","-998"
"2019","1","1","54","0","0.00","0.0","0"
"2019","2","2","40","3","0.14","3.0","3"
"2019","3","3","14","6","0.38","4.5","6"
"2019","4","4","22","4","0.01","0.1","4"
"2019","5","5","32","4","0.00","0.0","4"
"2019","6","6","43","3","0.00","0.0","3"
"2019","7","7","53","-999","0.09","0.1","-999"
"2019","8","8","46","-999","-999.00","0.0","-999"
"2019","9","9","50","-999","0.10","0.0","-999"
"2019","10","10","49","-999","0.00","0.0","-999"
"2019","11","11","53","-999","-999.00","0.0","-999"
"2019","12","12","59","0","0.00","0.0","0"
"2019","13","13","54","3","1.30","3.1","3"
"2019","14","14","36","2","0.00","0.0","2"
"2019","15","15","49","-999","0.00","0.0","-999"
"2019","16","16","51","0","0.00","0.0","0"
"2019","17","17","54","0","0.00","0.0","0"
"2019","18","18","49","0","0.00","0.0","0"
"2019","19","19","49","0","0.00","0.0","0"
"2019","20","20","60","0","0.00","0.0","0"
"2019","21","21","59","0","0.00","0.0","0"
"2019","22","22","57","0","0.06","0.0","0"
"2019","23","23","52","0","0.04","0.0","0"
"2019","24","24","58","0","-999.00","0.0","0"
"2019","25","25","60","0","0.00","0.0","0"
"2019","26","26","70","0","0.00","0.0","0"
"2019","27","27","74","0","0.00","0.0","0"
"2019","28","28","64","0","0.00","0.0","0"
"2019","29","29","54","0","0.27","0.0","0"
"2019","30","30","42","-999","0.44","5.4","-999"
"2019","31","31","51","0","0.00","0.0","0"
"2019","1","1","59","0","0.00","0.0","0"
"2019","2","2","55","0","0.00","0.0","0"
"2019","3","3","58","0","-999.00","0.0","0"
"2019","4","4","65","0","0.00","0.0","0"
"2019","5","5","69","0","0.00","0.0","0"
"2019","6","6","70","0","0.00","0.0","0"
"2019","7","7","70","0","0.00","0.0","0"
"2019","8","8","76","0","0.00","0.0","0"
"2019","9","9","78","0","0.00","0.0","0"
"2019","10","10","73","3","0.54","2.7","3"
"2019","11","11","43","1","0.24","2.5","1"
"2019","12","12","43","-999","-999.00","-999.0","-999"
"2019","13","13","48","0","0.10","0.8","0"
"2019","14","14","65","0","0.00","0.0","0"
"2019","15","15","72","0","0.00","0.0","0"
"2019","16","16","71","0","-999.00","0.0","0"
"2019","17","17","64","0","-999.00","0.0","0"
"2019","18","18","63","0","0.00","0.0","0"
"2019","19","19","72","0","0.00","0.0","0"
"2019","20","20","79","0","0.00","0.0","0"
"2019","21","21","71","0","0.19","0.0","0"
"2019","22","22","48","0","0.32","0.0","0"
"2019","23","23","65","0","-999.00","0.0","0"
"2019","24","24","72","0","0.00","0.0","0"
"2019","25","25","70","0","0.00","0.0","0"
"2019","26","26","74","0","0.00","0.0","0"
"2019","27","27","66","0","0.02","0.0","0"
"2019","28","28","76","0","-999.00","0.0","0"
"2019","29","29","57","1","0.12","1.4","1"
"2019","30","30","37","1","0.34","2.8","1"
"2019","1","1","45","0","0.11","-999.0","0"
"2019","2","2","59","0","0.14","-999.0","0"
"2019","3","3","68","0","0.00","0.0","0"
"2019","4","4","70","0","0.00","0.0","0"
"2019","5","5","75","0","0.00","0.0","0"
"2019","6","6","71","0","-999.00","0.0","0"
"2019","7","7","61","0","0.34","0.0","0"
"2019","8","8","49","0","0.60","0.0","0"
"2019","9","9","39","-999","0.52","2.3","-999"
"2019","10","10","52","0","-999.00","0.0","0"
"2019","11","11","64","0","-999.00","0.0","0"
"2019","12","12","71","0","0.00","0.0","0"
"2019","13","13","78","0","-999.00","0.0","0"
"2019","14","14","82","0","-999.00","0.0","0"
"2019","15","15","79","0","-999.00","0.0","0"
"2019","16","16","81","0","-999.00","0.0","0"
"2019","17","17","71","0","0.10","0.0","0"
"2019","18","18","65","0","0.00","0.0","0"
"2019","19","19","62","0","0.01","0.0","0"
"2019","20","20","46","0","0.39","-999.0","0"
"2019","21","21","43","2","0.89","5.1","2"
"2019","22","22","47","-999","0.04","0.0","-999"
"2019","23","23","45","0","0.32","0.0","0"
"2019","24","24","70","0","0.02","0.0","0"
"2019","25","25","74","0","0.00","0.0","0"
"2019","26","26","75","0","-999.00","0.0","0"
"2019","27","27","67","0","0.05","0.0","0"
"2019","28","28","61","0","0.21","0.0","0"
"2019","29","29","61","0","0.14","0.0","0"
"2019","30","30","70","0","0.00","0.0","0"
"2019","31","31","76","0","0.01","0.0","0"
"2019","1","1","74","0","-999.00","0.0","0"
"2019","2","2","76","0","0.02","0.0","0"
"2019","3","3","77","0","0.09","0.0","0"
"2019","4","4","81","0","0.05","0.0","0"
"2019","5","5","77","0","-999.00","0.0","0"
"2019","6","6","82","0","0.10","0.0","0"
"2019","7","7","84","0","0.06","0.0","0"
"2019","8","8","81","0","0.01","0.0","0"
"2019","9","9","68","0","0.05","0.0","0"
"2019","10","10","77","0","0.00","0.0","0"
"2019","11","11","78","0","0.00","0.0","0"
"2019","12","12","75","0","0.00","0.0","0"
"2019","13","13","87","0","0.00","0.0","0"
"2019","14","14","84","0","0.02","0.0","0"
"2019","15","15","79","0","0.00","0.0","0"
"2019","16","16","78","0","0.04","0.0","0"
"2019","17","17","73","0","0.57","0.0","0"
"2019","18","18","74","0","0.03","0.0","0"
"2019","19","19","84","0","0.00","0.0","0"
"2019","20","20","85","0","0.02","0.0","0"
"2019","21","21","80","0","0.19","0.0","0"
"2019","22","22","56","0","0.87","0.0","0"
"2019","23","23","63","0","-999.00","0.0","0"
"2019","24","24","77","0","0.00","0.0","0"
"2019","25","25","82","0","-999.00","0.0","0"
"2019","26","26","87","0","0.00","0.0","0"
"2019","27","27","90","0","0.00","0.0","0"
"2019","28","28","94","0","0.00","0.0","0"
"2019","29","29","90","0","-999.00","0.0","0"
"2019","30","30","91","0","-999.00","0.0","0"
"2019","1","1","84","0","0.04","0.0","0"
"2019","2","2","84","0","0.71","0.0","0"
"2019","3","3","89","0","0.00","0.0","0"
"2019","4","4","85","0","0.11","0.0","0"
"2019","5","5","80","0","0.34","0.0","0"
"2019","6","6","80","0","0.01","0.0","0"
"2019","7","7","86","0","-999.00","0.0","0"
"2019","8","8","84","0","-999.00","0.0","0"
"2019","9","9","89","0","0.00","0.0","0"
"2019","10","10","86","0","0.00","0.0","0"
"2019","11","11","95","0","0.00","0.0","0"
"2019","12","12","90","0","0.00","0.0","0"
"2019","13","13","92","0","0.00","0.0","0"
"2019","14","14","90","0","0.06","0.0","0"
"2019","15","15","94","0","0.01","0.0","0"
"2019","16","16","90","0","-999.00","0.0","0"
"2019","17","17","97","0","0.00","0.0","0"
"2019","18","18","98","0","0.00","0.0","0"
"2019","19","19","98","0","0.00","0.0","0"
"2019","20","20","94","0","0.44","0.0","0"
"2019","21","21","83","0","-999.00","0.0","0"
"2019","22","22","80","0","0.18","0.0","0"
"2019","23","23","86","0","0.00","0.0","0"
"2019","24","24","95","0","-999.00","0.0","0"
"2019","25","25","88","0","0.03","0.0","0"
"2019","26","26","92","0","0.00","0.0","0"
"2019","27","27","87","0","0.16","0.0","0"
"2019","28","28","89","0","0.00","0.0","0"
"2019","29","29","93","0","0.00","0.0","0"
"2019","30","30","90","0","0.11","0.0","0"
"2019","31","31","87","0","0.01","0.0","0"
"2019","1","1","83","0","0.02","0.0","0"
"2019","2","2","88","0","0.05","0.0","0"
"2019","3","3","96","0","-999.00","0.0","0"
"2019","4","4","93","0","0.00","0.0","0"
"2019","5","5","89","0","0.00","0.0","0"
"2019","6","6","95","0","0.00","0.0","0"
"2019","7","7","88","0","-999.00","0.0","0"
"2019","8","8","83","0","0.01","0.0","0"
"2019","9","9","96","0","0.01","0.0","0"
"2019","10","10","95","0","-999.00","0.0","0"
"2019","11","11","81","0","-999.00","0.0","0"
"2019","12","12","91","0","0.00","0.0","0"
"2019","13","13","88","0","0.00","0.0","0"
"2019","14","14","91","0","0.00","0.0","0"
"2019","15","15","95","0","0.00","0.0","0"
"2019","16","16","91","0","0.00","0.0","0"
"2019","17","17","90","0","0.00","0.0","0"
"2019","18","18","89","0","0.00","0.0","0"
"2019","19","19","96","0","0.00","0.0","0"
"2019","20","20","98","0","0.00","0.0","0"
"2019","21","21","82","0","0.01","-999.0","0"
"2019","22","22","90","0","-999.00","0.0","0"
"2019","23","23","87","0","0.00","0.0","0"
"2019","24","24","90","0","0.00","0.0","0"
"2019","25","25","97","0","0.00","0.0","0"
"2019","26","26","89","0","0.00","0.0","0"
"2019","27","27","77","0","0.00","0.0","0"
"2019","28","28","94","0","0.00","0.0","0"
"2019","29","29","88","0","0.00","0.0","0"
"2019","30","30","84","0","0.00","0.0","0"
"2019","31","31","91","0","0.00","0.0","0"
"2019","1","1","98","0","0.00","0.0","0"
"2019","2","2","100","0","0.00","0.0","0"
"2019","3","3","92","0","0.00","0.0","0"
"2019","4","4","85","0","-999.00","0.0","0"
"2019","5","5","97","0","0.00","0.0","0"
"2019","6","6","82","0","0.02","0.0","0"
"2019","7","7","89","0","0.05","0.0","0"
"2019","8","8","85","0","0.02","0.0","0"
"2019","9","9","84","0","0.08","0.0","0"
"2019","10","10","82","0","0.01","0.0","0"
"2019","11","11","76","0","0.25","0.0","0"
"2019","12","12","79","0","-999.00","0.0","0"
"2019","13","13","80","0","0.00","0.0","0"
"2019","14","14","90","0","0.00","0.0","0"
"2019","15","15","87","0","0.00","0.0","0"
"2019","16","16","88","0","0.00","0.0","0"
"2019","17","17","87","0","0.00","0.0","0"
"2019","18","18","83","0","0.00","0.0","0"
"2019","19","19","86","0","0.00","0.0","0"
"2019","20","20","86","0","0.00","0.0","0"
"2019","21","21","78","0","0.00","0.0","0"
"2019","22","22","76","0","-999.00","0.0","0"
"2019","23","23","81","0","0.00","0.0","0"
"2019","24","24","86","0","0.00","0.0","0"
"2019","25","25","81","0","0.00","0.0","0"
"2019","26","26","85","0","0.00","0.0","0"
"2019","27","27","79","0","-999.00","0.0","0"
"2019","28","28","73","0","0.13","0.0","0"
"2019","29","29","86","0","0.00","0.0","0"
"2019","30","30","82","0","0.00","0.0","0"
"2019","1","1","66","0","0.14","0.0","0"
"2019","2","2","62","0","0.37","0.0","0"
"2019","3","3","65","0","0.00","0.0","0"
"2019","4","4","69","0","0.00","0.0","0"
"2019","5","5","65","0","0.00","0.0","0"
"2019","6","6","64","0","0.00","0.0","0"
"2019","7","7","74","0","0.00","0.0","0"
"2019","8","8","80","0","0.00","0.0","0"
"2019","9","9","80","0","0.00","0.0","0"
"2019","10","10","55","3","0.42","3.8","3"
"2019","11","11","44","0","0.00","0.0","0"
"2019","12","12","67","0","0.00","0.0","0"
"2019","13","13","74","0","0.00","0.0","0"
"2019","14","14","75","0","0.00","0.0","0"
"2019","15","15","69","0","0.00","0.0","0"
"2019","16","16","80","0","0.00","0.0","0"
"2019","17","17","78","0","0.00","0.0","0"
"2019","18","18","67","0","0.00","0.0","0"
"2019","19","19","65","0","0.00","0.0","0"
"2019","20","20","50","0","0.00","0.0","0"
"2019","21","21","55","0","0.00","0.0","0"
"2019","22","22","64","0","0.00","0.0","0"
"2019","23","23","57","0","-999.00","0.0","0"
"2019","24","24","40","2","0.54","7.0","2"
"2019","25","25","60","-999","0.00","0.0","-999"
"2019","26","26","73","0","0.00","0.0","0"
"2019","27","27","59","3","0.23","3.9","3"
"2019","28","28","28","5","0.40","4.9","5"
"2019","29","29","21","7","0.20","4.7","7"
"2019","30","30","24","7","0.12","2.1","7"
"2019","31","31","45","4","0.00","0.0","4"
"2019","1","1","40","3","0.00","0.0","3"
"2019","2","2","48","2","0.00","0.0","2"
"2019","3","3","56","2","0.00","0.0","2"
"2019","4","4","49","1","0.00","0.0","1"
"2019","5","5","58","-999","0.00","0.0","-999"
"2019","6","6","55","-999","0.01","0.0","-999"
"2019","7","7","47","-999","0.08","0.0","-999"
"2019","8","8","69","0","0.00","0.0","0"
"2019","9","9","79","0","0.00","0.0","0"
"2019","10","10","72","0","0.00","0.0","0"
"2019","11","11","53","2","0.19","3.5","2"
"2019","12","12","57","-999","0.00","0.0","-999"
"2019","13","13","62","0","0.00","0.0","0"
"2019","14","14","55","0","0.00","0.0","0"
"2019","15","15","72","0","0.00","0.0","0"
"2019","16","16","65","0","0.00","0.0","0"
"2019","17","17","55","0","0.00","0.0","0"
"2019","18","18","66","0","0.00","0.0","0"
"2019","19","19","64","0","0.00","0.0","0"
"2019","20","20","51","-999","0.11","0.5","-999"
"2019","21","21","34","1","0.30","0.6","1"
"2019","22","22","36","2","0.15","1.8","2"
"2019","23","23","58","1","0.00","0.0","1"
"2019","24","24","63","-999","0.00","0.0","-999"
"2019","25","25","52","2","0.14","1.6","2"
"2019","26","26","29","20","1.33","20.7","20"
"2019","27","27","27","15","0.01","0.2","15"
"2019","28","28","31","13","0.00","0.0","13"
"2019","29","29","27","10","-999.00","-999.0","10"
"2019","30","30","37","10","0.06","0.6","10"
"2019","1","1","36","9","0.00","0.0","9"
"2019","2","2","54","6","0.00","0.0","6"
"2019","3","3","56","4","0.00","0.0","4"
"2019","4","4","54","4","0.00","0.0","4"
"2019","5","5","43","3","0.12","-999.0","3"
"2019","6","6","49","3","0.01","-999.0","3"
"2019","7","7","59","2","0.00","0.0","2"
"2019","8","8","56","1","-999.00","0.0","1"
"2019","9","9","45","1","-999.00","-999.0","1"
"2019","10","10","35","1","0.00","0.0","1"
"2019","11","11","54","1","0.00","0.0","1"
"2019","12","12","51","-999","0.00","0.0","-999"
"2019","13","13","46","-999","0.00","0.0","-999"
"2019","14","14","40","1","0.06","0.7","1"
"2019","15","15","31","-999","-999.00","-999.0","-999"
"2019","16","16","34","-999","-999.00","-999.0","-999"
"2019","17","17","44","-999","0.00","0.0","-999"
"2019","18","18","54","-999","0.00","0.0","-999"
"2019","19","19","47","-999","0.00","0.0","-999"
"2019","20","20","53","-999","0.00","0.0","-999"
"2019","21","21","64","-999","0.00","0.0","-999"
"2019","22","22","64","-999","0.00","0.0","-999"
"2019","23","23","58","-999","0.00","0.0","-999"
"2019","24","24","58","-999","0.00","0.0","-999"
"2019","25","25","50","-999","0.00","0.0","-999"
"2019","26","26","38","-999","0.00","0.0","-999"
"2019","27","27","36","-999","0.00","0.0","-999"
"2019","28","28","30","2","0.16","2.7","2"
"2019","29","29","36","1","0.00","0.0","1"
"2019","30","30","36","1","0.00","0.0","1"
"2019","31","31","52","1","0.00","0.0","1"
